순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA
23,LG,00,26.50,452,7,1,133,67,63,33,20,1235.2,631,586,5127,1197,,,113,449,19,61,886,7,49,4.27,4.11,1.33,104.8,108.9,26.50,
310,SK,00,6.87,523,1,0,133,44,86,21,9,1165.2,847,776,5360,1393,,,195,524,38,76,718,2,48,5.99,5.55,1.65,77.5,83.7,6.87,
65,두산,00,23.62,526,3,1,133,76,57,52,39,1172.2,616,550,5147,1189,,,104,517,19,56,829,11,62,4.22,4.32,1.46,105.8,103.5,23.62,
9,롯데,00,28.98,403,8,2,133,65,64,34,12,1196.2,579,534,5083,1136,,,129,442,12,53,917,1,47,4.02,4.24,1.32,115.7,109.7,28.98,
73,삼성,00,23.36,448,6,2,133,69,59,34,28,1184.1,670,610,5229,1233,,,130,524,6,77,880,9,52,4.64,4.61,1.48,102.3,102.9,23.36,
258,한화,00,13.92,428,7,2,133,50,78,31,9,1182.2,776,688,5296,1248,,,189,527,15,83,805,2,46,5.24,5.39,1.50,90.8,88.3,13.92,
197,해태,00,17.37,449,10,2,133,57,72,26,20,1197.2,728,659,5349,1284,,,177,491,14,96,881,3,52,4.95,5.04,1.48,94.3,92.6,17.37,
2,현대,00,33.47,431,5,2,133,91,40,51,30,1189.2,528,481,5014,1111,,,95,451,10,34,997,4,46,3.64,3.72,1.31,124.2,121.5,33.47,
224,LG,01,16.18,531,0,0,133,58,67,26,27,1184.2,732,675,5380,1253,,,127,647,43,69,765,6,52,5.13,4.92,1.60,89.5,93.3,16.18,
82,SK,01,22.81,404,11,3,133,60,71,33,22,1171.1,640,574,5110,1148,,,155,508,31,65,908,1,54,4.41,4.67,1.41,106.7,100.8,22.81,
191,두산,01,17.56,527,1,0,133,65,63,35,40,1180.1,733,651,5282,1290,,,128,546,17,60,799,0,47,4.96,4.66,1.56,92.2,98.1,17.56,
119,롯데,01,21.38,476,0,0,133,59,70,33,28,1171.2,670,609,5189,1238,,,128,523,23,61,790,2,53,4.68,4.62,1.50,100.2,101.5,21.38,
33,삼성,01,25.57,427,7,4,133,81,52,43,20,1187.1,644,582,5243,1195,,,132,561,20,61,844,8,38,4.41,4.66,1.48,108.9,103.2,25.57,
128,한화,01,20.97,498,7,3,133,61,68,25,32,1185.0,733,638,5331,1288,,,142,541,44,66,813,5,57,4.85,4.72,1.54,100.8,103.5,20.97,
204,해태/KIA,01,17.06,471,10,3,133,60,68,28,15,1178.2,727,657,5207,1231,,,160,499,17,79,743,3,51,5.02,5.04,1.47,94.8,94.3,17.06,
37,현대,01,25.33,448,6,2,133,72,57,39,22,1183.1,628,570,5218,1250,,,98,531,8,54,757,1,54,4.34,4.37,1.51,108.2,107.4,25.33,
92,KIA,02,22.40,482,10,1,133,78,51,38,30,1195.0,580,521,5106,1185,,,151,370,14,97,862,2,55,3.92,4.34,1.30,108.5,98.1,22.40,
132,LG,02,20.63,588,2,0,133,66,61,32,40,1190.2,575,521,5145,1119,,,135,501,30,100,896,5,40,3.94,4.41,1.36,105.0,93.8,20.63,
199,SK,02,17.29,489,5,3,133,61,69,25,15,1179.0,638,586,5074,1150,,,176,402,34,78,948,3,34,4.47,4.47,1.32,94.1,94.1,17.29,
46,두산,02,24.76,515,3,2,133,66,65,38,43,1183.0,562,517,5087,1139,,,99,479,30,60,954,2,44,3.93,3.77,1.37,104.7,109.3,24.76,
264,롯데,02,13.49,492,5,1,133,35,97,13,19,1168.0,710,615,5156,1269,,,130,443,16,83,775,1,40,4.74,4.43,1.47,88.8,94.9,13.49,
34,삼성,02,25.54,481,2,1,133,82,47,37,22,1197.2,581,522,5089,1182,,,148,385,16,74,987,3,45,3.92,4.07,1.31,110.0,106.0,25.54,
137,한화,02,20.39,521,8,1,133,59,69,32,32,1184.2,672,631,5198,1254,,,146,392,29,102,953,4,42,4.79,4.17,1.39,90.7,104.2,20.39,
112,현대,02,21.60,470,3,2,133,70,58,38,36,1186.1,614,559,5131,1219,,,142,416,12,64,890,5,54,4.24,4.24,1.38,100.7,100.7,21.60,
31,KIA,03,25.71,463,12,3,133,78,50,36,34,1178.0,527,478,4999,1092,,,137,414,12,101,820,1,42,3.65,4.16,1.28,117.3,102.9,25.71,
127,LG,03,21.01,588,2,1,133,60,71,37,51,1169.2,579,521,5166,1201,,,120,531,27,60,794,2,49,4.01,4.18,1.48,103.6,99.3,21.01,
200,SK,03,17.27,530,3,3,133,66,64,43,48,1181.1,642,583,5158,1190,,,135,497,19,83,759,2,42,4.44,4.39,1.43,93.9,95.1,17.27,
164,두산,03,19.11,591,7,2,133,57,74,30,53,1175.2,619,555,5144,1194,,,105,464,22,79,654,3,37,4.25,4.14,1.41,97.9,100.5,19.11,
302,롯데,03,10.44,616,3,0,133,39,91,22,58,1164.1,709,648,5173,1302,,,171,435,16,93,647,3,36,5.01,4.88,1.49,84.5,86.8,10.44,
87,삼성,03,22.77,529,2,1,133,76,53,30,41,1183.0,613,574,5150,1199,,,133,494,15,59,808,3,46,4.37,4.22,1.43,99.9,103.4,22.77,
90,한화,03,22.43,502,4,2,133,63,65,35,31,1192.0,617,580,5165,1184,,,142,437,14,68,772,9,53,4.38,4.25,1.36,99.1,102.2,22.43,
61,현대,03,23.78,504,2,1,133,80,51,39,43,1190.0,627,550,5197,1245,,,120,457,6,62,840,2,56,4.16,3.95,1.43,103.9,109.3,23.78,
125,KIA,04,21.03,559,5,3,133,67,61,27,24,1183.0,637,594,5199,1198,,,119,496,13,120,773,1,48,4.52,4.48,1.43,96.6,97.5,21.03,
213,LG,04,16.75,606,3,1,132,59,70,35,64,1159.2,636,565,5156,1231,,,116,536,31,64,780,1,55,4.38,4.38,1.52,95.7,95.9,16.75,
166,SK,04,19.01,531,3,1,134,61,64,29,49,1191.0,645,581,5240,1177,,,116,545,18,110,894,8,57,4.39,4.32,1.45,95.8,97.4,19.01,
43,두산,04,25.07,521,4,2,133,70,62,38,47,1177.2,560,508,5056,1144,,,95,457,18,75,799,3,49,3.88,3.95,1.36,107.9,106.1,25.07,
83,롯데,04,22.80,538,4,2,133,50,72,29,46,1190.1,608,558,5160,1216,,,109,449,41,76,753,3,43,4.22,4.09,1.40,101.2,104.3,22.80,
19,삼성,04,27.09,557,4,2,133,73,52,42,74,1196.1,564,500,5138,1092,,,118,505,17,85,994,6,43,3.76,4.01,1.34,115.4,108.3,27.09,
283,한화,04,12.08,534,3,0,133,53,74,37,36,1180.2,750,688,5267,1290,,,170,455,16,92,699,2,47,5.24,4.99,1.48,84.0,88.4,12.08,
50,현대,04,24.40,492,3,0,133,75,53,36,32,1187.0,590,537,5135,1193,,,123,440,0,59,842,4,41,4.07,4.14,1.38,106.4,104.6,24.40,
290,KIA,05,11.45,517,8,1,126,49,76,24,26,1105.0,659,595,4975,1166,,,138,510,16,119,786,3,59,4.85,4.88,1.52,87.7,87.1,11.45,
277,LG,05,12.62,606,3,1,126,54,71,31,59,1102.1,666,600,4969,1212,,,109,480,27,80,781,5,48,4.90,4.33,1.54,85.0,96.1,12.62,
42,SK,05,25.16,523,2,2,126,70,50,27,50,1137.0,485,432,4822,1005,,,103,422,12,99,843,1,31,3.42,4.05,1.26,120.8,101.9,25.16,
18,두산,05,27.26,516,2,1,126,72,51,33,51,1125.0,465,427,4774,1038,,,90,440,13,77,818,2,56,3.42,3.95,1.31,121.2,104.9,27.26,
107,롯데,05,21.73,494,2,0,126,58,67,33,24,1120.1,573,536,4845,1097,,,91,408,41,89,817,1,44,4.31,3.83,1.34,95.6,107.4,21.73,
25,삼성,05,26.24,552,2,1,126,74,48,37,62,1129.1,528,480,4791,1026,,,109,387,11,79,875,5,49,3.83,3.93,1.25,111.3,108.3,26.24,
165,한화,05,19.05,549,2,1,126,64,61,36,43,1111.0,603,545,4870,1193,,,111,389,9,88,662,2,35,4.41,4.39,1.42,99.2,99.8,19.05,
222,현대,05,16.24,496,2,0,126,53,70,28,22,1115.2,647,583,4930,1175,,,125,422,2,80,803,3,43,4.70,4.38,1.43,91.2,98.0,16.24,
76,KIA,06,23.05,447,2,0,126,64,59,35,29,1118.1,451,417,4725,998,,,73,442,17,78,735,2,44,3.36,3.59,1.29,108.0,101.0,23.05,
276,LG,06,12.67,535,3,2,126,47,75,29,53,1110.0,574,521,4834,1144,,,87,439,23,60,625,3,41,4.22,3.88,1.43,83.9,91.3,12.67,
236,SK,06,15.36,564,0,0,126,60,65,33,52,1124.0,535,475,4819,1071,,,85,446,24,83,701,2,26,3.80,3.79,1.35,92.4,92.9,15.36,
66,두산,06,23.56,436,7,3,126,63,60,39,29,1115.2,467,416,4690,968,,,69,424,13,69,834,1,55,3.36,3.30,1.25,106.6,108.3,23.56,
243,롯데,06,14.80,527,5,1,126,50,73,28,34,1118.2,541,482,4822,1128,,,83,410,30,60,637,1,30,3.88,3.71,1.38,90.4,94.5,14.80,
70,삼성,06,23.47,513,1,0,126,73,50,49,65,1118.0,471,414,4699,1030,,,100,365,9,63,781,7,21,3.33,3.59,1.25,108.6,100.8,23.47,
51,한화,06,24.32,471,11,3,126,67,57,41,47,1121.1,475,420,4731,1077,,,94,373,17,49,760,2,37,3.37,3.52,1.29,111.2,106.5,24.32,
54,현대,06,24.19,492,2,1,126,70,55,41,45,1114.2,467,426,4771,1053,,,69,394,0,71,816,0,39,3.44,3.29,1.30,105.0,109.7,24.19,
274,KIA,07,12.75,530,2,1,126,51,74,26,27,1109.2,602,554,4933,1109,,,103,526,28,97,670,7,60,4.49,4.44,1.47,87.5,88.6,12.75,
208,LG,07,16.88,557,2,1,126,58,62,34,58,1135.2,600,547,5014,1181,,,63,514,21,52,630,2,48,4.33,3.88,1.49,89.6,100.0,16.88,
75,SK,07,23.29,588,1,0,126,73,48,36,77,1139.1,465,410,4852,1079,,,77,445,27,67,650,1,28,3.24,3.85,1.34,117.6,99.1,23.29,
35,두산,07,25.41,497,6,4,126,70,54,30,42,1131.1,480,432,4814,1067,,,74,399,24,75,721,4,43,3.44,3.60,1.30,112.6,107.5,25.41,
192,롯데,07,17.56,523,2,0,126,55,68,22,24,1120.2,554,513,4871,1164,,,93,414,40,69,704,4,46,4.12,3.84,1.41,92.9,99.6,17.56,
80,삼성,07,22.85,547,0,0,126,62,60,41,51,1131.2,509,466,4824,1091,,,90,400,7,58,719,5,35,3.71,3.79,1.32,105.8,103.4,22.85,
48,한화,07,24.70,450,9,3,126,67,57,39,36,1119.0,481,440,4781,1084,,,84,451,24,53,741,4,38,3.54,3.77,1.37,113.6,106.7,24.70,
227,현대,07,15.99,550,1,0,126,56,69,27,46,1127.0,615,552,4906,1104,,,119,466,20,48,796,4,32,4.41,4.11,1.39,90.5,97.2,15.99,
123,KIA,08,21.21,513,3,1,126,57,69,29,26,1124.0,555,510,4850,1078,,,65,473,9,77,733,5,52,4.08,4.04,1.38,100.3,101.4,21.21,
275,LG,08,12.67,527,1,0,126,46,80,25,40,1108.1,646,597,4976,1239,,,82,480,4,72,631,3,46,4.85,4.46,1.55,84.4,91.9,12.67,
21,SK,08,26.70,609,1,1,126,83,43,43,72,1151.0,461,412,4855,1053,,,78,448,13,55,801,2,35,3.22,3.92,1.30,125.9,103.6,26.70,
79,두산,08,22.89,495,0,0,126,70,56,26,37,1134.2,542,490,4857,1115,,,78,379,13,69,780,5,45,3.89,3.82,1.32,105.3,107.2,22.89,
100,롯데,08,21.94,445,9,3,126,69,57,27,38,1119.0,518,453,4769,1134,,,70,409,32,47,671,2,42,3.64,3.90,1.38,110.5,103.3,21.94,
152,삼성,08,19.63,535,0,0,126,65,61,40,48,1123.1,596,549,4867,1184,,,87,416,4,43,703,4,49,4.40,4.12,1.42,94.4,100.8,19.63,
185,한화,08,18.04,487,3,1,126,64,62,36,39,1129.2,595,556,4911,1136,,,95,519,28,49,723,4,37,4.43,4.40,1.47,95.8,96.5,18.04,
169,히어로즈,08,18.67,511,4,2,126,50,76,29,36,1125.1,609,554,4933,1159,,,91,465,20,70,729,2,46,4.43,4.28,1.44,95.6,99.1,18.67,
5,KIA,09,31.12,480,4,0,133,81,48,38,36,1199.0,581,522,5176,1178,,,108,441,22,83,893,2,22,3.92,4.13,1.35,120.4,114.3,31.12,
273,LG,09,12.78,598,0,0,133,54,75,25,38,1175.0,763,708,5339,1316,,,165,585,10,91,777,1,56,5.42,5.39,1.62,87.9,88.4,12.78,
3,SK,09,31.66,556,2,0,133,80,47,33,34,1213.0,550,494,5203,1141,,,130,519,33,54,1032,3,68,3.67,4.22,1.37,129.1,112.3,31.66,
67,두산,09,23.54,569,1,0,133,71,60,32,59,1186.1,662,607,5205,1221,,,120,515,7,75,862,3,55,4.60,4.52,1.46,103.2,105.0,23.54,
135,롯데,09,20.54,484,6,6,133,66,67,40,37,1162.1,669,613,5165,1290,,,139,487,33,67,722,3,49,4.75,4.84,1.53,100.9,98.8,20.54,
139,삼성,09,20.30,544,3,1,133,64,69,32,45,1163.2,700,644,5209,1226,,,141,609,9,56,905,1,67,4.98,4.90,1.58,98.0,99.6,20.30,
245,한화,09,14.66,577,4,2,133,46,84,16,34,1174.0,805,743,5346,1335,,,176,569,27,77,908,5,57,5.70,5.17,1.62,85.9,94.6,14.66,
256,히어로즈,09,14.18,581,0,0,133,60,72,29,32,1174.1,762,706,5221,1231,,,176,565,19,61,840,5,51,5.41,5.26,1.53,89.2,91.8,14.18,
63,KIA,10,23.68,539,4,1,133,59,74,25,40,1183.2,641,577,5205,1227,,,93,468,19,81,885,4,53,4.39,4.16,1.43,104.0,109.8,23.68,
249,LG,10,14.38,646,3,1,133,57,71,31,59,1188.0,746,690,5326,1279,,,125,560,23,104,793,6,74,5.23,4.94,1.55,87.0,92.1,14.38,
7,SK,10,29.64,549,2,1,133,84,47,36,39,1198.1,545,494,5114,1074,,,117,543,27,47,1091,2,80,3.71,4.14,1.35,122.6,109.7,29.64,
183,넥센,10,18.15,597,1,1,133,52,78,27,39,1185.2,652,599,5231,1162,,,122,614,17,95,832,3,66,4.55,4.97,1.50,100.0,91.5,18.15,
136,두산,10,20.44,559,2,0,133,73,57,30,56,1179.2,669,606,5131,1190,,,135,437,6,85,888,2,58,4.62,4.58,1.38,98.4,99.3,20.44,
173,롯데,10,18.38,542,7,3,133,69,61,21,37,1194.0,710,641,5204,1291,,,149,419,41,78,779,3,49,4.83,4.75,1.43,95.7,97.4,18.38,
10,삼성,10,28.95,572,2,1,133,79,52,33,44,1193.2,575,523,5119,1168,,,103,453,11,54,951,3,61,3.94,4.06,1.36,117.0,113.6,28.95,
253,한화,10,14.30,556,6,4,133,49,82,24,28,1169.1,763,705,5267,1290,,,146,550,17,73,806,5,65,5.43,5.09,1.57,85.2,90.9,14.30,
86,KIA,11,22.78,515,7,4,133,70,63,29,37,1163.2,580,530,4991,1117,,,87,457,14,76,920,6,51,4.10,3.92,1.35,100.8,105.5,22.78,
153,LG,11,19.59,564,2,1,133,59,72,30,50,1193.2,620,550,5209,1173,,,80,512,20,71,827,6,52,4.15,4.09,1.41,98.9,100.2,19.59,
28,SK,11,25.82,562,1,0,133,71,59,37,63,1192.1,522,476,5032,1001,,,93,541,24,65,1006,3,64,3.59,3.98,1.29,114.2,103.1,25.82,
205,넥센,11,16.99,609,0,0,133,51,80,30,66,1171.1,622,568,5195,1167,,,81,601,16,76,830,1,73,4.36,4.37,1.51,94.1,94.1,16.99,
150,두산,11,19.64,530,4,2,133,61,70,34,46,1188.2,619,563,5170,1231,,,96,476,19,75,855,6,70,4.26,4.15,1.44,96.1,98.8,19.64,
144,롯데,11,19.93,552,3,2,133,72,56,27,45,1187.0,619,554,5114,1256,,,113,430,19,58,787,4,62,4.20,4.29,1.42,99.9,97.8,19.93,
8,삼성,11,29.59,532,1,1,133,79,50,48,74,1196.1,513,445,5077,1191,,,92,395,8,38,841,5,40,3.35,3.85,1.33,124.6,108.3,29.59,
267,한화,11,13.21,561,4,1,133,59,72,26,36,1175.0,727,667,5280,1273,,,128,524,10,55,938,2,91,5.11,4.46,1.53,81.8,93.6,13.21,
143,KIA,12,19.93,535,11,6,133,62,65,27,33,1183.2,564,513,5101,1161,,,69,452,13,68,822,6,56,3.90,3.76,1.36,96.9,100.6,19.93,
138,LG,12,20.38,576,1,0,133,57,72,35,64,1202.0,580,537,5188,1235,,,65,422,23,71,735,6,57,4.02,3.76,1.38,95.0,101.7,20.38,
117,SK,12,21.45,549,0,0,133,71,59,40,69,1181.1,528,502,5007,1114,,,90,457,26,70,814,7,35,3.82,3.99,1.33,99.6,95.5,21.45,
158,넥센,12,19.29,493,3,1,133,61,69,36,34,1187.1,551,505,5116,1131,,,80,535,9,74,853,0,62,3.83,4.06,1.40,100.1,94.4,19.29,
85,두산,12,22.79,513,9,3,133,68,62,38,47,1193.1,519,475,5012,1053,,,66,491,17,57,802,4,57,3.58,3.81,1.29,106.8,100.3,22.79,
84,롯데,12,22.80,598,3,1,133,65,62,39,63,1190.1,518,460,5070,1145,,,74,469,20,53,825,1,65,3.48,3.79,1.36,110.2,101.1,22.80,
12,삼성,12,28.68,522,3,0,133,80,51,39,71,1187.2,473,448,4941,1085,,,65,384,14,37,885,5,46,3.39,3.35,1.24,112.5,113.9,28.68,
238,한화,12,15.31,550,3,0,133,53,77,29,54,1172.1,647,593,5092,1148,,,106,488,18,68,936,3,82,4.55,4.06,1.40,85.9,96.3,15.31,
261,KIA,13,13.69,551,2,0,128,51,74,32,50,1142.1,711,650,5200,1307,,,88,532,0,76,923,6,73,5.12,4.33,1.61,83.8,99.1,13.69,
45,LG,13,24.89,579,4,2,128,74,54,42,86,1134.2,510,469,4848,1131,,,74,406,0,87,822,2,46,3.72,4.05,1.36,114.1,104.8,24.89,
111,NC,13,21.63,510,5,1,128,52,72,26,31,1144.1,551,503,4919,1077,,,96,458,0,94,857,6,60,3.96,4.39,1.34,108.6,97.9,21.63,
130,SK,13,20.74,522,4,1,128,62,63,31,38,1139.0,571,527,4932,1091,,,101,505,0,70,878,5,66,4.16,4.47,1.40,104.2,97.0,20.74,
88,넥센,13,22.46,541,0,0,128,72,54,50,70,1146.1,576,525,4996,1160,,,75,503,0,84,860,3,52,4.12,4.24,1.45,105.7,102.9,22.46,
186,두산,13,17.90,537,1,0,128,71,54,30,42,1150.1,625,584,5043,1183,,,84,514,0,76,848,6,55,4.57,4.36,1.48,93.1,97.5,17.90,
77,롯데,13,22.99,537,1,1,128,66,58,38,64,1149.1,553,502,4986,1148,,,84,489,0,62,820,0,45,3.93,4.31,1.42,111.2,101.4,22.99,
53,삼성,13,24.31,508,2,1,128,75,51,31,49,1146.2,545,507,4896,1119,,,98,411,0,60,955,4,44,3.98,4.03,1.33,107.6,106.4,24.31,
289,한화,13,11.65,538,2,0,128,42,85,22,34,1129.0,711,666,5073,1195,,,98,532,0,95,822,8,89,5.31,4.69,1.53,81.7,92.6,11.65,
201,KIA,14,17.24,507,2,1,128,54,74,26,40,1121.2,788,735,5143,1289,,,116,561,8,67,896,1,78,5.90,5.26,1.65,88.5,100.6,17.24,
60,LG,14,23.87,574,2,1,128,62,64,35,65,1142.2,643,584,5028,1211,,,104,419,25,95,810,1,51,4.60,4.91,1.43,107.6,102.8,23.87,
38,NC,14,25.28,580,3,1,128,70,57,31,59,1135.2,608,554,5003,1174,,,117,481,8,73,848,5,50,4.39,5.14,1.46,118.5,102.6,25.28,
230,SK,14,15.82,556,2,0,128,61,65,26,44,1129.1,760,699,5112,1271,,,153,522,19,68,837,1,67,5.57,5.65,1.59,91.6,92.6,15.82,
99,넥센,14,21.94,530,0,0,128,78,48,35,55,1131.2,716,668,5107,1299,,,142,516,2,61,901,4,55,5.31,5.42,1.60,99.2,98.8,21.94,
206,두산,14,16.98,564,4,0,128,59,68,19,61,1123.2,733,679,5066,1311,,,121,450,4,58,840,4,56,5.44,5.11,1.57,90.9,98.3,16.98,
121,롯데,14,21.29,528,0,0,128,57,68,28,56,1100.0,705,645,4940,1268,,,126,456,11,52,756,1,52,5.28,5.33,1.57,103.3,100.2,21.29,
11,삼성,14,28.70,543,3,1,128,78,47,35,65,1144.0,621,583,4990,1217,,,120,395,11,61,996,3,51,4.59,4.65,1.41,115.3,113.6,28.70,
293,한화,14,11.26,530,2,1,130,49,77,26,30,1129.0,889,800,5312,1451,,,162,537,14,81,748,3,83,6.38,6.00,1.76,85.1,88.0,11.26,
141,KIA,15,20.09,628,1,1,144,67,77,32,65,1273.0,739,679,5673,1371,,,143,572,22,98,979,4,80,4.80,5.07,1.53,102.8,97.7,20.09,
94,LG,15,22.22,616,3,1,144,64,78,25,44,1279.2,721,660,5599,1352,,,125,490,30,98,1063,3,83,4.64,4.53,1.44,101.1,103.3,22.22,
113,NC,15,21.59,635,1,0,144,84,57,37,55,1279.1,655,606,5536,1283,,,149,436,13,113,1057,3,60,4.26,4.73,1.34,112.4,103.1,21.59,
105,SK,15,21.76,621,3,2,144,69,73,31,60,1280.2,724,673,5646,1358,,,153,517,31,70,1149,4,73,4.73,4.68,1.46,102.1,103.8,21.76,
272,kt,15,12.82,652,3,0,144,52,91,16,31,1266.2,875,782,5799,1518,,,154,577,17,87,1046,4,88,5.56,5.08,1.65,90.4,96.6,12.82,
193,넥센,15,17.54,587,1,1,144,78,65,29,44,1286.0,790,707,5709,1404,,,146,518,7,81,1066,4,85,4.95,4.81,1.50,100.6,103.2,17.54,
250,두산,15,14.37,623,3,2,144,79,65,30,57,1286.0,776,719,5762,1385,,,138,584,15,77,1064,11,75,5.03,4.86,1.53,93.2,96.0,14.37,
255,롯데,15,14.19,618,3,1,144,66,77,19,47,1281.1,802,727,5724,1461,,,164,489,26,87,1015,3,90,5.11,4.98,1.52,98.7,99.0,14.19,
257,삼성,15,14.06,577,4,1,144,88,56,34,60,1275.1,716,666,5523,1323,,,182,423,11,64,1194,2,44,4.70,4.72,1.37,105.1,104.2,14.06,
287,한화,15,11.91,672,5,3,144,68,76,32,44,1279.2,800,727,5771,1349,,,157,648,38,96,920,9,85,5.11,5.43,1.56,97.4,90.9,11.91,
151,KIA,16,19.63,635,7,1,144,70,73,38,74,1276.0,785,708,5771,1456,,,131,561,18,59,965,7,69,4.99,5.03,1.58,103.7,103.8,19.63,
252,LG,16,14.32,676,2,2,144,71,71,34,75,1287.2,807,729,5782,1426,,,122,539,27,109,909,1,84,5.10,5.06,1.53,99.8,99.0,14.32,
30,NC,16,25.78,628,0,0,144,83,58,36,62,1286.1,690,642,5643,1314,,,137,516,2,86,1147,7,84,4.49,4.79,1.42,113.3,107.4,25.78,
178,SK,16,18.28,600,1,0,144,69,75,31,43,1274.0,784,699,5659,1386,,,151,527,18,76,945,7,65,4.94,5.23,1.50,105.7,100.3,18.28,
307,kt,16,8.82,693,1,1,144,53,89,27,48,1273.0,927,839,5896,1593,,,145,560,9,84,980,9,77,5.93,5.23,1.69,88.1,99.9,8.82,
114,넥센,16,21.57,608,0,0,144,77,66,38,74,1280.1,757,705,5684,1487,,,152,435,3,68,895,3,50,4.96,5.11,1.50,106.0,101.4,21.57,
44,두산,16,24.93,579,2,2,144,93,50,36,55,1287.2,682,638,5658,1385,,,136,498,7,77,982,4,66,4.46,4.96,1.46,114.6,101.0,24.93,
296,롯데,16,11.08,668,2,1,144,66,78,27,59,1266.1,865,792,5785,1486,,,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,11.08,
279,삼성,16,12.55,647,2,0,144,65,78,34,60,1282.1,869,804,5799,1507,,,193,518,6,87,935,8,52,5.64,5.69,1.58,93.4,91.7,12.55,
270,한화,16,13.12,680,1,0,144,66,75,24,39,1292.2,908,828,5937,1520,,,155,634,23,76,976,6,72,5.76,5.44,1.67,91.1,96.5,13.12,
157,KIA,17,19.33,582,5,2,144,87,56,33,46,1290.0,743,691,5748,1518,,,137,434,22,77,985,4,69,4.82,4.73,1.51,103.1,105.5,19.33,
163,LG,17,19.16,619,4,1,144,69,72,32,66,1279.0,677,614,5507,1305,,,124,379,31,102,1040,3,81,4.32,4.43,1.32,112.0,109.1,19.16,
219,NC,17,16.45,620,1,0,144,79,62,32,51,1284.2,745,673,5640,1342,,,169,470,12,93,1097,3,93,4.71,5.02,1.41,105.3,99.6,16.45,
203,SK,17,17.22,608,2,1,144,75,68,30,64,1270.2,767,710,5692,1443,,,154,481,35,105,940,7,61,5.03,5.13,1.51,100.1,98.6,17.22,
269,kt,17,13.18,588,4,2,144,50,94,22,41,1256.0,876,806,5702,1524,,,174,433,11,95,913,6,77,5.78,5.32,1.56,87.8,93.8,13.18,
171,넥센,17,18.48,554,2,1,144,69,73,40,66,1271.0,764,714,5663,1488,,,149,388,10,97,1005,3,56,5.06,4.80,1.48,98.4,102.1,18.48,
116,두산,17,21.48,590,3,2,144,84,57,35,46,1288.0,678,627,5682,1405,,,125,464,11,87,956,4,54,4.38,4.77,1.45,109.9,101.2,21.48,
41,롯데,17,25.17,623,1,0,144,80,62,39,59,1287.1,701,653,5634,1357,,,162,477,25,79,1096,7,67,4.57,4.91,1.43,110.4,102.6,25.17,
311,삼성,17,6.78,613,1,0,144,55,84,27,34,1281.1,911,840,5916,1541,,,187,548,15,118,1063,4,74,5.90,5.50,1.63,86.0,91.7,6.78,
260,한화,17,13.70,634,1,0,144,61,81,31,49,1273.0,820,749,5698,1474,,,166,446,13,100,914,4,77,5.30,5.25,1.51,95.0,96.4,13.70,
216,KIA,18,16.61,575,4,0,144,70,74,26,43,1270.2,826,766,5708,1511,,,181,445,28,69,1017,3,65,5.43,5.23,1.54,94.6,98.6,16.61,
212,KT,18,16.76,631,4,1,144,59,82,24,45,1274.1,834,760,5743,1580,,,194,409,25,84,1025,1,63,5.37,5.31,1.56,98.7,97.9,16.76,
268,LG,18,13.21,601,3,2,144,68,75,29,43,1268.2,816,750,5677,1434,,,159,453,13,89,1058,4,72,5.32,5.05,1.49,94.8,99.2,13.21,
295,NC,18,11.15,622,1,0,144,58,85,24,51,1264.0,844,773,5701,1443,,,186,537,17,68,1010,6,92,5.50,5.54,1.57,94.3,94.9,11.15,
98,SK,18,21.96,634,0,0,144,78,65,29,63,1274.2,729,664,5563,1353,,,189,425,15,74,1130,2,62,4.69,5.13,1.40,112.1,103.4,21.96,
181,넥센,18,18.24,591,4,1,144,75,69,32,72,1282.0,780,723,5646,1442,,,178,416,13,98,1021,4,59,5.08,5.22,1.45,101.5,97.8,18.24,
154,두산,18,19.58,615,1,0,144,93,51,41,56,1288.2,756,716,5700,1401,,,154,476,17,109,1025,2,72,5.00,5.12,1.46,101.1,98.4,19.58,
226,롯데,18,16.03,686,0,0,144,68,74,29,64,1283.2,846,771,5788,1410,,,166,548,23,73,1164,7,65,5.41,5.10,1.53,96.5,102.6,16.03,
